id;title;content;picture;picture_content_type;date
1;Singapore область;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-01T21:04:58
2;помощник;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-02T02:13:34
3;world-class Майка;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-01T15:10:24
4;solutions;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-02T00:23:01
5;Loan;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-01T13:36:23
6;Pataca;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-02T04:58:36
7;Орловская проспект;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-01T14:21:52
8;repurpose Германия blockchains;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-01T13:17:06
9;интерфейс;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-01T15:05:42
10;резервное;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-02T00:43:19
