id;name;code;requirements;requirements_content_type
1;Автомобильное;Кепка Bedfordshire;../fake-data/blob/hipster.png;image/png
2;интерфейс;ул.;../fake-data/blob/hipster.png;image/png
3;Home ИИ bottom-line;zero methodologies;../fake-data/blob/hipster.png;image/png
4;Областной;пиксель ключ global;../fake-data/blob/hipster.png;image/png
5;synergies;markets Фильмы Avon;../fake-data/blob/hipster.png;image/png
6;action-items взлом Свитер;дизайнер asymmetric Хлопковый;../fake-data/blob/hipster.png;image/png
7;Автомобиль;массив;../fake-data/blob/hipster.png;image/png
8;invoice methodology conglomeration;Seamless human-resource Карачаево-Черкессия;../fake-data/blob/hipster.png;image/png
9;granular;Гвинея Кожанный groupware;../fake-data/blob/hipster.png;image/png
10;область;Республика край;../fake-data/blob/hipster.png;image/png
